time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-11-16 09:30:00-05:00,MLTrader,4af63ed3786a40388b490be5cc2c16ac,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,483830fb22bc4532a4754972fb6b3c02,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,699e6240d0a64c81bd80793342571ddc,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,e07704f16dfc4429b025ad2e947ca646,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,fb1a46460f7c4c21bb3d1d6e4729b7e8,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,dd729b4b8ad54fb38ce27572491afa34,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,0aab1432ad354ed2a0289210ab78624b,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,5f0f41d487c94c53b64030ed2208a38b,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,c25c452134f146228bcf40aa5771c290,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,72d0da9cf9dc4ddc91b2098fb184495a,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,b3bd0a624de34a7b8a47ecf33ad83d46,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,84f2d74374c5432683fd12e4f9a4f25d,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,903ddeeca1a04fa6b5185cb844c93ae7,SPY,buy,market,new,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,b1272986494d4d65941c13ad5914820c,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,903ddeeca1a04fa6b5185cb844c93ae7,SPY,buy,market,fill,1,day,0.0,1,stock,449.2200012207031,5252.0,0.0
2023-11-16 09:30:00-05:00,MLTrader,b1272986494d4d65941c13ad5914820c,SPY,buy,market,fill,1,gtc,0.0,1,stock,449.2200012207031,2725.0,0.0
